News Org,Tweets Ago,Date,Tweet,Compound,Positive,Neutral,Negative
@BBC,84,Mon Nov 27 19:41:28 +0000 2017,RT @BBCSport: @Elise_Christie @Mo_Farah @chrisfroome @LewisHamilton @anthonyfjoshua @HKane @JoKonta91 @JonniePeacock @adam_peaty @jonathanr…,0.0,0.0,0.0,1.0
@BBC,85,Mon Nov 27 19:38:53 +0000 2017,🐔❤️️ How Prince Harry popped the question to Meghan Markle. Via @BBCBreaking. #RoyalWedding https://t.co/PCNQRr5t0p,0.0,0.0,0.0,1.0
@BBC,86,Mon Nov 27 19:26:08 +0000 2017,"RT @BBCCiN: With your £50.1 million, we can continue to fund people like Charlotte, a speech &amp; language therapist at @Elizabeth_found in Po…",0.3612,0.106,0.0,0.894
@BBC,87,Mon Nov 27 19:24:55 +0000 2017,"RT @BBCBreaking: ""It was just an amazing surprise"" - Meghan Markle on the moment Prince Harry proposed to her https://t.co/7pnNzobbc9 #roya…",0.7096,0.247,0.0,0.753
@BBC,88,Mon Nov 27 19:24:45 +0000 2017,"RT @BBCRadio3: Let's face it, #SacredRiver was amazing.
https://t.co/0tnIS5vSG2",0.5859,0.322,0.0,0.678
@BBC,89,Mon Nov 27 19:24:35 +0000 2017,"RT @BBCSport: Here come the contenders for BBC Sports Personality of the Year 2017...

Watch the #SPOTY announcement live here: https://t.c…",0.0,0.0,0.0,1.0
@BBC,90,Mon Nov 27 19:00:03 +0000 2017,18 years in an abusive relationship left Rina with physical &amp; mental scars but now her tattoos tell a story of surv… https://t.co/HfNzMO5sFE,-0.3818,0.0,0.11,0.89
@BBC,91,Mon Nov 27 18:56:21 +0000 2017,Prince Harry and Meghan Markle talk to the BBC following the announcement of their engagement. Tonight on @BBCOne a… https://t.co/24rVtRTNue,0.4588,0.136,0.0,0.864
@BBC,92,Mon Nov 27 18:33:04 +0000 2017,"🔥 RED HOT 🔥
The calendar turning British red-headed men into naked pin-ups. 📆 https://t.co/RoC5THStPr https://t.co/V0ruxLT5iq",0.0,0.0,0.0,1.0
@BBC,93,Mon Nov 27 18:02:03 +0000 2017,Harry and Meghan: A Royal Engagement. Tonight at 7:30pm on @BBCOne. ❤️️💍 https://t.co/6NxH13X1c4 https://t.co/yDyOmtMHg4,0.4588,0.2,0.0,0.8
@BBC,94,Mon Nov 27 17:33:04 +0000 2017,Would you know what to do in a medical emergency? 🚑 🤕 🚨 Here are 7 simple first aid techniques that can help save l… https://t.co/VOhpQtodKg,0.5106,0.223,0.098,0.679
@BBC,95,Mon Nov 27 17:00:03 +0000 2017,"What happens when driverless cars have to make complex, split second, moral decisions, like if a child runs onto th… https://t.co/7lVhteWEhY",0.3612,0.116,0.0,0.884
@BBC,96,Mon Nov 27 16:02:05 +0000 2017,"💫 The #SoundOf2018 longlist has been announced 💫
Who's going to take out the top spot? 🤔 https://t.co/BYok9jX1iW https://t.co/L4uGWqNmgJ",0.2023,0.107,0.0,0.893
@BBC,97,Mon Nov 27 15:23:03 +0000 2017,"'When did I know she was the one? Very first time we met.'
Prince Harry and Meghan Markle appear for photos outside… https://t.co/olk3QpYRyb",0.0,0.0,0.0,1.0
@BBC,98,Mon Nov 27 15:19:52 +0000 2017,"RT @bbcpress: 🆕 @MishalHusainBBC will interview #PrinceHarry and Meghan Markle today on behalf of all broadcasters.

📺 Watch on @BBCNews, 6…",0.0,0.0,0.0,1.0
@BBC,99,Mon Nov 27 15:18:43 +0000 2017,"RT @BBC6Music: Explore BBC Radio 6 Music Recommends' Top 10 Albums of 2017

https://t.co/Qpe0NrFYhH",0.4019,0.252,0.0,0.748
@CBS,0,Wed Nov 29 20:15:57 +0000 2017,You'll treasure this special night with #BrunoMars! Find out how to watch Bruno Mars: 24K Live at the Apollo tonigh… https://t.co/9sUgnHnnpM,0.6825,0.228,0.0,0.772
@CBS,1,Wed Nov 29 15:00:07 +0000 2017,The 'Only Angel' @Harry_Styles saw last night were the ones on the runway! Watch him perform at the #VSFashionShow:… https://t.co/na8GAiZwmS,0.0,0.0,0.0,1.0
@CBS,2,Wed Nov 29 12:00:06 +0000 2017,This entire collection is drop-dead gorgeous. See all the most sizzling looks from the 2017 #VSFashionShow:… https://t.co/zpTKXcm05r,0.6124,0.2,0.0,0.8
@CBS,3,Wed Nov 29 09:09:48 +0000 2017,"Stars @Miguel, @Harry_Styles, @leslieodomjr &amp; more set the tone for a truly incredible show! Watch all the musical… https://t.co/kmo4l3aGai",0.4926,0.158,0.0,0.842
@CBS,4,Wed Nov 29 08:39:05 +0000 2017,Some of the best moments happen behind the scenes! Here's your backstage pass to the 2017 Victoria's Secret Fashion… https://t.co/S8MpOnhC6b,0.6696,0.191,0.0,0.809
@CBS,5,Wed Nov 29 08:22:35 +0000 2017,"From the sky-high heels to the jaw-dropping wings, these outfits are fashion goals! See all the best looks from the… https://t.co/GnyZ8NnBYH",0.6696,0.183,0.0,0.817
@CBS,6,Wed Nov 29 07:56:05 +0000 2017,Missed the world’s most celebrated fashion show? Catch up on your own time and watch the entire 2017 Victoria's Sec… https://t.co/9OuYvHItzh,0.4201,0.158,0.087,0.754
@CBS,7,Wed Nov 29 06:41:12 +0000 2017,"RT @VictoriasSecret: That’s a wrap on the 2017 #VSFashionShow!! BIG thanks to the Angels, the people of Shanghai &amp; YOU for watching! https:…",0.5826,0.152,0.0,0.848
@CBS,8,Wed Nov 29 04:13:05 +0000 2017,Want to relive all of your favorite #VSFashionShow runway moments?  @GIPHY has you covered. https://t.co/mgfziAQR4c,0.5106,0.249,0.0,0.751
@CBS,9,Wed Nov 29 04:02:16 +0000 2017,"RT @vannalovescats: Another successful show. I’m so proud of all of the beautiful ladies, they all did amazing. The musical guests were FAN…",0.9476,0.449,0.0,0.551
@CBS,10,Wed Nov 29 04:00:58 +0000 2017,55 Models. 88 Looks. 1 FABULOUS Night. #VSFashionShow https://t.co/TmYqRjDRE5,0.6289,0.371,0.0,0.629
@CBS,11,Wed Nov 29 03:57:07 +0000 2017,Two. Million. Dollar. Bra. 😮  #VSFashionShow https://t.co/4dp7RbMHlp,0.0,0.0,0.0,1.0
@CBS,12,Wed Nov 29 03:56:08 +0000 2017,RT @exclvdes: HARRY SINGING ANGEL FOR THE ANGELS HAS ME CRYING #VSFashionShow,-0.5904,0.0,0.258,0.742
